TransactionID,ProductName,BrandType,Color,City,SaleDate,UnitsSold,UnitPrice,SupplierName,StockAvailable,BrandName,MachineType
1,Barista Lite,App Connectivity,Blue,delhi,12-11-2023,4,41930.53,Contoso Distributors,62,Barista,Commercial Coffee Makers
2,AutoDrip,Auto-Brew,Black,Pune,17-05-2025,12,48954.37,BrewSupply Pvt Ltd,103,AutoDrip,Commercial Espresso Machines
3,Barista Lite,App Connectivity,Black,Hyderabad,22-10-2023,-3,35192.03,CoffeeTech Supplies,33,Barista,At Home Espresso Machines
4,Airpot XL,Auto-Brew,Green,delhi,27-04-2025,-1,47035.53,Aroma Imports,168,Airpot,At Home Coffee Makers
5,QuickPot,Auto-Brew,Black,Delhi,27-05-2024,2,23743.08,,137,QuickPot,Commercial Espresso Machines
6,Travel Brew 100,Auto-Brew,Black,delhi,18-03-2024,10,32530.06,BrewSupply Pvt Ltd,197,Travel Brew,Commercial Espresso Machines
7,Airpot XL,Auto-Brew,White,delhi,21-08-2023,2,7952.43,CoffeeTech Supplies,185,Airpot,At Home Coffee Makers
8,Barista Lite,App Connectivity,Green,Bangalore,10-01-2024,1,5617.37,Aroma Imports,213,Barista,At Home Espresso Machines
9,Barista Lite,App Connectivity,Red,DELHI,15-03-2025,15,21228.95,,116,Barista,At Home Coffee Makers
10,Smart Brew 300,Auto-Brew,Green,Hyderabad,21-04-2025,2,22534.42,Contoso Distributors,459,Smart Brew,Commercial Espresso Machines
11,Cafe A-100 Automatic,App Connectivity,Red,Mumbai,20-02-2025,13,31300.27,BrewSupply Pvt Ltd,172,Cafe,At Home Coffee Makers
12,Smart Brew 300,Auto-Brew,White,Pune,10-09-2023,5,21266.39,BrewSupply Pvt Ltd,122,Smart Brew,Commercial Coffee Makers
13,Cafe S-200 Semi-Automatic,App Connectivity,Blue,Delhi,02-08-2024,14,26189.52,BeanWorld India,259,Cafe,Commercial Coffee Makers
14,QuickPot,Auto-Brew,Black,Hyderabad,10-03-2024,2,44130.68,BeanWorld India,299,QuickPot,At Home Coffee Makers
15,Airpot XL,Auto-Brew,Blue,DELHI,02-04-2024,1,47590.08,,58,Airpot,Commercial Coffee Makers
16,QuickPot,Auto-Brew,White,delhi,18-07-2023,8,45306.5,Aroma Imports,123,QuickPot,At Home Coffee Makers
17,Crema Café,App Connectivity,Blue,Delhi,29-10-2023,-4,13489.43,Contoso Distributors,406,Crema,At Home Coffee Makers
18,AutoDrip,Auto-Brew,Silver,delhi,19-05-2023,8,44481.56,BrewSupply Pvt Ltd,489,AutoDrip,At Home Coffee Makers
19,Cafe A-100 Automatic,App Connectivity,White,Bangalore,27-10-2023,-3,20651.03,BeanWorld India,306,Cafe,At Home Coffee Makers
20,Airpot XL,Auto-Brew,White,Bangalore,13-12-2023,0,43050.15,Aroma Imports,209,Airpot,At Home Espresso Machines
21,Cafe A-100 Automatic,App Connectivity,Blue,Delhi,15-09-2023,5,21700.22,Aroma Imports,145,Cafe,Commercial Coffee Makers
22,Precision Brew 100,Auto-Brew,Red,Delhi,11-02-2024,2,46534.7,CoffeeTech Supplies,91,Precision Brew,Commercial Coffee Makers
23,QuickPot,Auto-Brew,Green,Pune,17-02-2025,0,26761.58,Aroma Imports,485,QuickPot,At Home Coffee Makers
24,QuickPot,Auto-Brew,Green,Bangalore,02-08-2024,15,31241.86,Aroma Imports,151,QuickPot,At Home Espresso Machines
25,Travel Brew 100,Auto-Brew,Green,delhi,17-01-2024,8,9246.88,BrewSupply Pvt Ltd,325,Travel Brew,Commercial Espresso Machines
26,Precision Brew 100,Auto-Brew,Green,Bangalore,26-07-2025,8,16986.3,BrewSupply Pvt Ltd,482,Precision Brew,At Home Espresso Machines
27,Travel Brew 100,Auto-Brew,Silver,Mumbai,23-05-2024,4,42779.47,Contoso Distributors,100,Travel Brew,At Home Espresso Machines
28,Airpot XL,Auto-Brew,Green,delhi,29-04-2024,11,27124.12,Aroma Imports,270,Airpot,Commercial Espresso Machines
29,Precision Brew 100,Auto-Brew,Red,DELHI,27-12-2025,-5,37654.4,,485,Precision Brew,At Home Coffee Makers
30,Cafe A-100 Automatic,App Connectivity,Green,Pune,02-12-2025,8,24034.27,Aroma Imports,88,Cafe,Commercial Espresso Machines
31,Airpot XL,Auto-Brew,Red,Pune,20-10-2024,8,18513.0,BrewSupply Pvt Ltd,12,Airpot,Commercial Espresso Machines
32,Cafe S-200 Semi-Automatic,App Connectivity,Blue,delhi,27-11-2023,-1,21411.32,CoffeeTech Supplies,442,Cafe,At Home Coffee Makers
33,AutoDrip,Auto-Brew,White,Bangalore,23-08-2025,19,36579.96,,280,AutoDrip,At Home Coffee Makers
34,Precision Brew 100,Auto-Brew,Green,delhi,13-07-2024,4,17130.31,BeanWorld India,370,Precision Brew,At Home Espresso Machines
35,QuickPot,Auto-Brew,Red,Delhi,19-06-2023,2,21859.78,CoffeeTech Supplies,304,QuickPot,At Home Coffee Makers
36,Cafe A-100 Automatic,App Connectivity,Blue,Mumbai,28-12-2025,7,33203.15,,453,Cafe,Commercial Espresso Machines
37,Travel Brew 100,Auto-Brew,Blue,Mumbai,05-03-2024,12,33124.69,,18,Travel Brew,At Home Espresso Machines
38,AutoDrip,Auto-Brew,White,delhi,03-10-2025,-5,39261.05,Contoso Distributors,262,AutoDrip,At Home Coffee Makers
39,Barista Lite,App Connectivity,Red,Mumbai,26-09-2025,-1,18027.25,Contoso Distributors,57,Barista,At Home Espresso Machines
40,Cafe S-200 Semi-Automatic,App Connectivity,Black,Pune,18-07-2025,0,44541.16,CoffeeTech Supplies,142,Cafe,At Home Coffee Makers
41,Crema Café,App Connectivity,Blue,Pune,18-11-2023,1,17176.55,BeanWorld India,431,Crema,Commercial Coffee Makers
